,name,longitude,latitude,free_bikes
231,52nd & Chestnut,-75.22424,39.95828,4
232,42nd & Woodland,-75.20691,39.94717,2
233,17th & Sansom,-75.16953,39.95081,7
234,Kelly Drive Grandstand,-75.1995,39.98798,2
235,10th & Nevada,-75.14925,39.98628,7
236,27th & Clearfield,-75.174,40.0028,1
237,24th & Christian,-75.18335,39.94213,7
238,Walnut & Rittenhouse,-75.17309,39.95038,8
239,"19th & Girard, PTTI",-75.16757,39.97263,2
240,City Hall South,-75.16395,39.95182,3
241,58th & Spruce,-75.2387,39.95628,2
242,Cresson & Levering,-75.22445,40.02651,7
243,10th & Chestnut,-75.15672,39.95005,4
244,"52nd St Station, MFL ",-75.2244,39.96,2
245,11th & Washington,-75.1612,39.93724,11
246,42nd & Lancaster,-75.20799,39.96674,3
247,24th & Race SRT,-75.1782,39.95819,9
248,"Pennsylvania & Fairmount, Perelman Building",-75.17952,39.96759,9
249,6th & Race,-75.14983,39.95403,1
250,Broad & Christian,-75.16691,39.94019,3
251,Broad & Cherry,-75.16287,39.95511,4
252,13th & Locust,-75.16226,39.94816,1
253,10th & Federal,-75.16042,39.93431,8
254,Rodin Museum,-75.1742,39.9625,9
255,Frankford & Belgrade,-75.13445,39.97195,17
256,"39th & Mt. Vernon, Mantua Haverford Community Center",-75.19973,39.96411,1
257,9th & Arch,-75.1543,39.9534,2
258,9th & Locust,-75.15695,39.94732,1
259,10th & Oxford,-75.15101,39.97633,9
260,22nd & Lehigh,-75.1671,39.99569,9
261,Free Library of Philadelphia - Central Library,-75.17036,39.95923,2
262,29th & Dauphin,-75.17975,39.99119,6
263,29th & Tasker,-75.19319,39.93366,8
264,40th & Spruce,-75.20311,39.9522,0
265,"Kelly Drive, Strawberry Mansion Bridge",-75.19242,39.99484,3
266,11th & Market ,-75.15888,39.95169,14
267,17th & Locust,-75.16978,39.94888,17
268,Broad & Federal,-75.16711,39.93549,5
269,27th & South,-75.18475,39.94595,1
270,"3rd & Wildey, Liberty Lands Park",-75.14222,39.96634,13
271,19th & Oregon,-75.1796,39.918,2
272,American & Oxford,-75.14006,39.97502,9
273,44th & Haverford,-75.21185,39.96277,1
274,"26th & Moore, Vare Recreation Center",-75.18924,39.93074,8
275,23rd & Market,-75.17761,39.95425,5
